t_us,openloop_el_angle_rad,sensor_raw,sensor_error
826447,-36.362976,2047,0
827699,-36.417988,1876,0
828954,-36.473,2048,0
830197,-36.528011,1880,0
831448,-36.583023,1881,0
832699,-36.638035,1883,0
833947,-36.693047,1887,0
835197,-36.748058,1888,0
836448,-36.80307,1891,0
837699,-36.858082,1893,0
838947,-36.913094,2198,0
840197,-36.968105,2048,0
841453,-37.023117,2048,0
842699,-37.078129,2192,0
843947,-37.133141,2047,0
845197,-37.188152,2188,0
846447,-37.243164,2048,0
847699,-37.298176,1912,0
848947,-37.353188,2179,0
850197,-37.408199,1919,0
851447,-37.463211,1922,0
852698,-37.518223,1924,0
853947,-37.573235,1926,0
855197,-37.628246,1928,0
856453,-37.683258,1929,0
857705,-37.73827,1931,0
858948,-37.793282,2163,0
860198,-37.848293,2048,0
861454,-37.903305,2047,0
862699,-37.958317,2156,0
863948,-38.013329,2154,0
865198,-38.06834,2151,0
866448,-38.123352,2047,0
867699,-38.178364,1948,0
868948,-38.233376,2144,0
870198,-38.288387,1953,0
871448,-38.343399,1955,0
872699,-38.398411,1958,0
873948,-38.453423,1960,0
875198,-38.508434,2048,0
876448,-38.563446,1966,0
877699,-38.618458,1969,0
878948,-38.67347,2123,0
880198,-38.728481,2048,0
881448,-38.783493,2048,0
882699,-38.838505,2116,0
883948,-38.893517,2113,0
885198,-38.948528,2047,0
886448,-39.00354,2107,0
887699,-39.058552,1991,0
888948,-39.113564,2048,0
890198,-39.168575,1997,0
891448,-39.223587,2001,0
892699,-39.278599,2047,0
893948,-39.333611,2007,0
895198,-39.388622,2011,0
896448,-39.443634,2048,0
897698,-39.498646,2017,0
898948,-39.553658,2075,0
900198,-39.608669,2048,0
901448,-39.663681,2048,0
902705,-39.718693,2069,0
903948,-39.773705,2067,0
905211,-39.828716,2047,0
906448,-39.883728,2062,0
907699,-39.93874,2037,0
908948,-39.993752,2047,0
910198,-40.048763,2043,0
911448,-40.103775,2045,0
912699,-40.158787,2049,0
913948,-40.213799,2051,0
915198,-40.26881,2054,0
916448,-40.323822,2048,0
917705,-40.378834,2060,0
918948,-40.433846,2048,0
920198,-40.488857,2047,0
921448,-40.543869,2027,0
922699,-40.598881,2025,0
923948,-40.653893,2023,0
925198,-40.708904,2022,0
926448,-40.763916,2021,0
927699,-40.818928,2047,0
928948,-40.87394,2047,0
930198,-40.928951,2081,0
931448,-40.983963,2083,0
932698,-41.038975,2086,0
933948,-41.093987,2088,0
935198,-41.148998,2090,0
936448,-41.20401,2093,0
937699,-41.259022,2096,0
938948,-41.314034,1997,0
940198,-41.369045,2048,0
941448,-41.424057,1993,0
942699,-41.479069,1990,0
943948,-41.534081,1988,0
945198,-41.589092,1985,0
946447,-41.644104,1982,0
947699,-41.699116,2115,0
948948,-41.754128,2048,0
950197,-41.809139,2118,0
951447,-41.864151,2120,0
952699,-41.919163,2122,0
953947,-41.974174,2123,0
955197,-42.029186,2124,0
956447,-42.084198,2048,0
957705,-42.13921,2128,0
958947,-42.194221,2048,0
960197,-42.249233,2047,0
961447,-42.304245,1959,0
962699,-42.359257,1956,0
963947,-42.414268,1953,0
965197,-42.46928,1950,0
966448,-42.524292,1947,0
967699,-42.579304,2151,0
968947,-42.634315,2155,0
970197,-42.689327,2158,0
971448,-42.744339,2162,0
972699,-42.799351,2165,0
973947,-42.854362,2168,0
975197,-42.909374,2170,0
976448,-42.964386,1922,0
977699,-43.019398,2176,0
978947,-43.074409,2048,0
980197,-43.129421,1914,0
981448,-43.184433,2048,0
982699,-43.239445,1907,0
983947,-43.294456,1904,0
985197,-43.349468,2048,0
986447,-43.40448,1898,0
987699,-43.459492,2201,0
988947,-43.514503,2048,0
990197,-43.569515,2208,0
991447,-43.624527,2212,0
992699,-43.679539,2215,0
993947,-43.73455,2218,0
995197,-43.789562,2220,0
996447,-43.844574,1873,0
997699,-43.899586,2224,0
998947,-43.954597,2226,0
1000212,-44.009609,1866,0
1001454,-44.064621,2047,0
1002705,-44.119633,1861,0
1003948,-44.174644,1859,0
1005198,-44.229656,2239,0
1006448,-44.284668,1854,0
1007699,-44.33968,2047,0
1008948,-44.394691,2047,0
1010198,-44.449703,2048,0
1011448,-44.504715,2249,0
1012699,-44.559727,2252,0
1013954,-44.614738,2255,0
1015198,-44.66975,2258,0
1016454,-44.724762,2047,0
1017699,-44.779774,2262,0
1018948,-44.834785,2263,0
1020198,-44.889797,1829,0
1021454,-44.944809,1828,0
1022699,-44.999821,1827,0
1023948,-45.054832,1825,0
1025198,-45.109844,2271,0
1026448,-45.164856,1822,0
1027699,-45.219868,2276,0
1028948,-45.274879,2278,0
1030198,-45.329891,2048,0
1031448,-45.384903,2282,0
1032699,-45.439915,2285,0
1033954,-45.494926,2286,0
1035198,-45.549938,2289,0
1036448,-45.60495,2048,0
1037698,-45.659962,2293,0
1038948,-45.714973,2296,0
1040198,-45.769985,1797,0
1041448,-45.824997,2048,0
1042699,-45.880009,1791,0
1043948,-45.93502,1788,0
1045198,-45.990032,1786,0
1046448,-46.045044,1783,0
1047699,-46.100056,2315,0
1048948,-46.155067,2317,0
1050198,-46.210079,2048,0
1051448,-46.265091,2323,0
1052705,-46.320103,2325,0
1053948,-46.375114,2328,0
1055198,-46.430126,2331,0
1056448,-46.485138,2335,0
1057699,-46.54015,2338,0
1058948,-46.595161,2342,0
1060198,-46.650173,1750,0
1061448,-46.705185,1746,0
1062699,-46.760197,1742,0
1063948,-46.815208,1738,0
1065198,-46.87022,2047,0
1066448,-46.925232,1731,0
1067698,-46.980244,2367,0
1068948,-47.035255,2369,0
1070198,-47.090267,2373,0
1071448,-47.145279,2375,0
1072699,-47.200291,2378,0
1073948,-47.255302,2381,0
1075198,-47.310314,2385,0
1076448,-47.365326,2387,0
1077699,-47.420338,2390,0
1078948,-47.475349,2392,0
1080198,-47.530361,1700,0
1081454,-47.585373,1696,0
1082699,-47.640385,1694,0
1083948,-47.695396,1691,0
1085198,-47.750408,1689,0
1086454,-47.80542,1686,0
1087699,-47.860432,2048,0
1088947,-47.915443,2412,0
1090197,-47.970455,2413,0
1091448,-48.025467,2414,0
1092699,-48.080479,2416,0
1093947,-48.13549,2417,0
1095211,-48.190502,2419,0
1096447,-48.245514,2421,0
1097699,-48.300526,2047,0
1098954,-48.355537,2048,0
1100197,-48.410549,1667,0
1101447,-48.465561,1664,0
1102705,-48.520573,1662,0
1103947,-48.575584,1660,0
1105197,-48.630596,1657,0
1106447,-48.685608,1655,0
1107699,-48.74062,2048,0
1108947,-48.795631,2444,0
1110197,-48.850643,2446,0
1111447,-48.905655,2449,0
1112699,-48.960667,2451,0
1113954,-49.015678,2454,0
1115198,-49.07069,2456,0
1116447,-49.125702,2047,0
1117699,-49.180714,1635,0
1118947,-49.235725,2047,0
1120197,-49.290737,1633,0
1121448,-49.345749,1631,0
1122699,-49.400761,1629,0
1123947,-49.455772,1627,0
1125197,-49.510784,1625,0
1126447,-49.565796,2047,0
1127699,-49.620808,1620,0
1128947,-49.675819,2478,0
1130197,-49.730831,2481,0
1131459,-49.785843,2484,0
1132699,-49.840855,2488,0
1133947,-49.895866,2048,0
1135197,-49.950878,2494,0
1136447,-50.00589,2499,0
1137699,-50.060902,1593,0
1138947,-50.115913,2507,0
1140197,-50.170925,2048,0
1141447,-50.225937,1582,0
1142699,-50.280949,2517,0
1143948,-50.33596,1575,0
1145198,-50.390972,2047,0
1146448,-50.445984,2048,0
1147699,-50.500996,1565,0
1148948,-50.556007,2533,0
1150198,-50.611019,2536,0
1151448,-50.666031,2539,0
1152699,-50.721043,2543,0
1153948,-50.776054,2047,0
1155198,-50.831066,2550,0
1156448,-50.886078,2553,0
1157699,-50.94109,1539,0
1158948,-50.996101,2048,0
1160198,-51.051113,2047,0
1161448,-51.106125,1532,0
1162699,-51.161137,1530,0
1163948,-51.216148,1528,0
1165198,-51.27116,1526,0
1166448,-51.326172,2571,0
1167699,-51.381184,1522,0
1168948,-51.436195,2576,0
1170198,-51.491207,2578,0
1171448,-51.546219,2580,0
1172699,-51.601231,2582,0
1173948,-51.656242,2584,0
1175198,-51.711254,2586,0
1176454,-51.766266,2588,0
1177699,-51.821278,1505,0
1178948,-51.876289,2048,0
1180198,-51.931301,2048,0
1181448,-51.986313,1498,0
1182699,-52.041325,1494,0
1183954,-52.096336,1492,0
1185198,-52.151348,1490,0
1186448,-52.20636,2047,0
1187699,-52.261372,2048,0
1188948,-52.316383,2610,0
1190198,-52.371395,2612,0
1191448,-52.426407,2047,0
